"task_id","track_id","title","source_file","rerun_ledger_status","latest_verification","verified_at","verification_class","graph_live_addon","depends_on","write_scopes","verification_record"
"00.T1","00","Unified real-system runner","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/00-verification-harness.md","done","PASS","2026-07-06T13:33:12.887Z","K","","","","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/plan.runs/verifications/00.T1.md"
"00.T2","00","Live-wire projection harness","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/00-verification-harness.md","done","PASS","2026-07-06T13:34:36.485Z","K","","00.T1","scripts/live-wire.mjs","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/plan.runs/verifications/00.T2.md"
"00.T3","00","Anti-fraud test lint","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/00-verification-harness.md","done","PASS","2026-07-06T13:34:37.083Z","K","","00.T2","","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/plan.runs/verifications/00.T3.md"
"00.T4","00","Kernel truth suite (the red tests)","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/00-verification-harness.md","done","PASS","2026-07-06T13:34:39.819Z","K","","00.T3 | 02.T2","","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/plan.runs/verifications/00.T4.md"
"00.T5","00","Gateway method existence probe","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/00-verification-harness.md","done","PASS","2026-07-06T13:34:44.443Z","K","","00.T4","scripts/gateway-method-audit.mjs","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/plan.runs/verifications/00.T5.md"
"00.T6","00","Verifier protocol runner","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/00-verification-harness.md","done","PASS","2026-07-06T13:34:45.468Z","K","","00.T5","","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/plan.runs/verifications/00.T6.md"
"00.T7","00","Harness DOX + charter binding","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/00-verification-harness.md","done","PASS","2026-07-06T13:34:46.605Z","K","","00.T6","Body/M/pratibimba-app/AGENTS.md","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/plan.runs/verifications/00.T7.md"
"01.T1.1","01","M0-X' six-layer surface contract","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/01-m0-anuttara-reconciliation.md","done","PASS","2026-07-06T18:14:37.319Z","K","","00.T3","Body/S/S0/** | Idea/Bimba/Seeds/M/Legacy/plans/2026-06-02-m-prime-cycle-3-design-reconciliation/01-m0-anuttara-reconciliation.md","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/plan.runs/verifications/01.T1.1.md"
"01.T1.2","01","Execute DR-M0-1: CRUD downgraded to governed-route","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/01-m0-anuttara-reconciliation.md","done","PASS","2026-07-07T21:25:32.382Z","K","","01.T1.18","Body/S/S0/** | Idea/Bimba/Seeds/M/Legacy/plans/2026-06-02-m-prime-cycle-3-design-reconciliation/01-m0-anuttara-reconciliation.md","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/plan.runs/verifications/01.T1.2.md"
"01.T1.3","01","Decision: Anuttara source naming canon","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/01-m0-anuttara-reconciliation.md","done","PASS","2026-07-07T21:32:48.462Z","K","","01.T1.2","Body/S/S0/** | Idea/Bimba/Seeds/M/Legacy/plans/2026-06-02-m-prime-cycle-3-design-reconciliation/01-m0-anuttara-reconciliation.md","Idea/Bimba/Seeds/M/Legacy/plans/2026-07-03-m-prime-cycle-3-full-rerun/plan.runs/verifications/01.T1.3.md"
