depth,root_x,sub_y,kind,coordinate,wikilink,direct_parent,prime_parent,planned_name,notes
1,0,,root_direct,S0,"[[S0]]",,,"Terminal / CLI Ground","Raw execution substrate; shell primitives; ground layer where computation meets command"
1,0,,root_prime,S0',"[[S0']]",,,"Reflective CLI Law","Declared CLI contract; preferred-tools covenant; how CLI choices are lawfully made"
1,1,,root_direct,S1,"[[S1]]",,,"Vault Material Container","The Obsidian filesystem body; /Idea as physical substrate; where the ontological mirror is materialised"
1,1,,root_prime,S1',"[[S1']]",,,"Content Membrane / Compiler Spine","Compilation and content-API layer bridging vault to agent runtime; frontmatter law; template system; vault health"
1,2,,root_direct,S2,"[[S2]]",,,"Graph Body","Neo4j raw storage; coordinate-forward node and relation schema; embedding substrate; chunk ingestion"
1,2,,root_prime,S2',"[[S2']]",,,"Coordinate-Aware Retrieval","Graph query law; cross-namespace edge typing; reranking contract; what the graph is permitted to return"
1,3,,root_direct,S3,"[[S3]]",,,"Gateway / Shared Runtime","WebSocket gateway; session store; presence layer; shared execution substrate across processes and surfaces"
1,3,,root_prime,S3',"[[S3']]",,,"Temporal Surfacing / State Contract","Lawful temporal and state contract; gateway session semantics; kairos surfacing; Chronos temporal ground"
1,4,,root_direct,S4,"[[S4]]",,,"Agent Execution Package","The ta-onta operational package; full agentic inhabitation layer; where the agent lives and acts"
1,4,,root_prime,S4',"[[S4']]",,,"Agentic Inhabitation Law","Constitutional and invocation law of the agent; VAK grammar; Anima as root; context-frame execution law"
1,5,,root_direct,S5,"[[S5]]",,,"World Return","External crystallisation surface; Notion sync; publication and delivery; system presenting itself outward"
1,5,,root_prime,S5',"[[S5']]",,,"Recollection / Improvement Law","Law of what the system draws back; crystallisation contracts; autoresearch and precision loops; Sophia and Aletheia governance"
2,0,0,sub_direct,S0.0,"[[S0.0]]","[[S0]]","[[S0']]","CLI Primitive Ground","Raw shell operations; process spawning; stdin/stdout/stderr"
2,0,0,sub_prime,S0.0',"[[S0.0']]","[[S0]]","[[S0']]","CLI Contract Ground","preferred-tools.json; resolve.sh; declared preference law"
2,0,1,sub_direct,S0.1,"[[S0.1]]","[[S0]]","[[S0']]","CLI Command Form","Command grammar; argument parsing; epi entry-point structure"
2,0,1,sub_prime,S0.1',"[[S0.1']]","[[S0]]","[[S0']]","CLI Command Law","How commands are declared and versioned; the form contract"
2,0,2,sub_direct,S0.2,"[[S0.2]]","[[S0]]","[[S0']]","CLI Execution Operations","Subprocess management; piping; exit code handling; job control"
2,0,2,sub_prime,S0.2',"[[S0.2']]","[[S0]]","[[S0']]","CLI Execution Contract","Permission model for shell operations; sandboxing intent"
2,0,3,sub_direct,S0.3,"[[S0.3]]","[[S0]]","[[S0']]","CLI Scripting Patterns","Reusable compositions; workflow patterns; just recipes"
2,0,3,sub_prime,S0.3',"[[S0.3']]","[[S0]]","[[S0']]","CLI Pattern Reflection","Pattern library; canonical workflow templates"
2,0,4,sub_direct,S0.4,"[[S0.4]]","[[S0]]","[[S0']]","CLI Context State","Working directory; environment variables; shell session state"
2,0,4,sub_prime,S0.4',"[[S0.4']]","[[S0]]","[[S0']]","CLI Context Frame","Fast QV surfacing; lightweight session context injection at CLI level"
2,0,5,sub_direct,S0.5,"[[S0.5]]","[[S0]]","[[S0']]","CLI Integration Surface","Cross-tool composition; gh; fzf; jq; external tool bridges"
2,0,5,sub_prime,S0.5',"[[S0.5']]","[[S0]]","[[S0']]","CLI Reflective Return","What a CLI session yields; audit trail; session-end cleanup"
2,1,0,sub_direct,S1.0,"[[S1.0]]","[[S1]]","[[S1']]","Vault Filesystem Ground","Raw /Idea directory structure; folder topology; physical container"
2,1,0,sub_prime,S1.0',"[[S1.0']]","[[S1]]","[[S1']]","Vault Schema Law","Ontological law of the vault; frontmatter schema; residency invariants"
2,1,1,sub_direct,S1.1,"[[S1.1]]","[[S1]]","[[S1']]","Vault Form Layer","Template system; CT types; canonical note forms; YAML frontmatter shapes"
2,1,1,sub_prime,S1.1',"[[S1.1']]","[[S1]]","[[S1']]","Vault Form Contract","Canonical CT type definitions; template law; form validation rules"
2,1,2,sub_direct,S1.2,"[[S1.2]]","[[S1]]","[[S1']]","Vault Write Operations","khora_write primitive; file create/update/delete; sync queue population"
2,1,2,sub_prime,S1.2',"[[S1.2']]","[[S1]]","[[S1']]","Vault Write Law","Write authority invariant; who can write; sync queue contract; no-direct-write rule"
2,1,3,sub_direct,S1.3,"[[S1.3]]","[[S1]]","[[S1']]","Vault Compilation Passes","Health checks; lint passes; incremental rebuild; wikilink resolution"
2,1,3,sub_prime,S1.3',"[[S1.3']]","[[S1]]","[[S1']]","Vault Compiler Spine","Compiler pass contract; ledger append logic; query interface over compiled outputs"
2,1,4,sub_direct,S1.4,"[[S1.4]]","[[S1]]","[[S1']]","Vault Temporal Context","Day/NOW folder structure; Empty/Present basin; active session folders"
2,1,4,sub_prime,S1.4',"[[S1.4']]","[[S1]]","[[S1']]","Vault Context Economy","kbase assembly law; scope and relevance rules for vault retrieval"
2,1,5,sub_direct,S1.5,"[[S1.5]]","[[S1]]","[[S1']]","Vault Integration Surface","Graph sync bridges; Obsidian plugin hooks; export surfaces"
2,1,5,sub_prime,S1.5',"[[S1.5']]","[[S1]]","[[S1']]","Vault Return Law","What the vault crystallises back; promoted artifact contract; canonical residency graduation"
2,2,0,sub_direct,S2.0,"[[S2.0]]","[[S2]]","[[S2']]","Graph Primitive Ground","Neo4j raw connection; node/relation CRUD; base storage"
2,2,0,sub_prime,S2.0',"[[S2.0']]","[[S2]]","[[S2']]","Graph Schema Law","Coordinate-forward schema; canonical node property contracts; relation type registry"
2,2,1,sub_direct,S2.1,"[[S2.1]]","[[S2]]","[[S2']]","Graph Node Forms","Coordinate node shapes; property schemas; Bimba node families"
2,2,1,sub_prime,S2.1',"[[S2.1']]","[[S2]]","[[S2']]","Graph Form Contract","How nodes inherit coordinate law; Bimba canonical form"
